model,image_name,image_type,true_object,vlm_guess,similarity_score,quality
GPT-5.5,0002g.png,grey,violin,violin,1.0000001192092896,L
GPT-5.5,0002c.png,color,eagle,,0.29166510701179504,L
GPT-5.5,0003g.png,grey,bottle,,0.32884204387664795,M
GPT-5.5,0003c.png,color,bird,jar,0.3313344419002533,M
GPT-5.5,0005g.png,grey,guitar,,0.24969424307346344,H
GPT-5.5,0005c.png,color,octopus,,0.26138848066329956,H
GPT-5.5,0006g.png,grey,castle,,0.21933981776237488,M
GPT-5.5,0006c.png,color,crab,,0.27114778757095337,M
GPT-5.5,0007g.png,grey,bridge,,0.30921968817710876,M
GPT-5.5,0007c.png,color,dolphin,,0.2937765121459961,M
GPT-5.5,0012g.png,grey,feather,,0.3031677007675171,L
GPT-5.5,0012c.png,color,tiger,tiger,1.0000001192092896,L
GPT-5.5,0018g.png,grey,flower,lily,0.5471251010894775,H
GPT-5.5,0018c.png,color,bird,,0.2782021164894104,H
GPT-5.5,0030g.png,grey,branch,,0.2855691909790039,L
GPT-5.5,0030c.png,color,bird,,0.2782021164894104,L
GPT-5.5,0031g.png,grey,plume,,0.24000342190265656,M
GPT-5.5,0031c.png,color,dragonfly,dragonfly,1.0000001192092896,M
GPT-5.5,0048g.png,grey,balloon,pig,0.29015251994132996,L
GPT-5.5,0048c.png,color,llama,,0.2796522080898285,L
GPT-5.5,0051g.png,grey,mask,,0.3240286111831665,L
GPT-5.5,0051c.png,color,peacock,peacock,1.000000238418579,L
GPT-5.5,0057g.png,grey,boat,boat,1.0,M
GPT-5.5,0057c.png,color,ladybug,,0.21472786366939545,M
GPT-5.5,0062g.png,grey,windmill,windmill,0.9999999403953552,L
GPT-5.5,0062c.png,color,fish,windmill,0.24121829867362976,L
GPT-5.5,0064g.png,grey,temple,crown,0.3389986455440521,L
GPT-5.5,0070g.png,grey,mountain,,0.269178569316864,M
GPT-5.5,0070c.png,color,kitten,,0.3341177701950073,M
GPT-5.5,0074g.png,grey,moon,,0.25088444352149963,L
GPT-5.5,0074c.png,color,walrus,walrus,1.0000001192092896,L
GPT-5.5,0078g.png,grey,banana,banana,1.0000001192092896,M
GPT-5.5,0078c.png,color,parrot,parrot,1.0000001192092896,M
GPT-5.5,0083g.png,grey,bottle,jar,0.42928916215896606,L
GPT-5.5,0083c.png,color,kingfisher,jar,0.3159126043319702,L
GPT-5.5,0098g.png,grey,flower,lily,0.5471251010894775,H
GPT-5.5,0098c.png,color,bird,,0.2782021164894104,H
GPT-5.5,0100g.png,grey,mushroom,,0.229142427444458,L
GPT-5.5,0100c.png,color,manatee,,0.16824455559253693,L
GPT-5.5,0117g.png,grey,vase,,0.2327970564365387,M
GPT-5.5,0117c.png,color,iguana,,0.1681782454252243,M
GPT-5.5,0118g.png,grey,cup,,0.41000252962112427,L
GPT-5.5,0118c.png,color,gecko,,0.30493029952049255,L
GPT-5.5,0132g.png,grey,drum,jellyfish,0.30311790108680725,M
GPT-5.5,0132c.png,color,jellyfish,jellyfish,1.0000001192092896,M
GPT-5.5,0150g.png,grey,mountain,,0.269178569316864,M
GPT-5.5,0150c.png,color,kitten,cat,0.7882107496261597,M
GPT-5.5,0159g.png,grey,pear,,0.2633572518825531,L
GPT-5.5,0159c.png,color,goldfish,fish,0.7194259166717529,L
GPT-5.5,0162g.png,grey,violin,violin,1.0000001192092896,L
GPT-5.5,0162c.png,color,eagle,,0.29166510701179504,L
GPT-5.5,0175g.png,grey,tulip,,0.311443954706192,L
GPT-5.5,0175c.png,color,moose,,0.30991652607917786,L
GPT-5.5,0196g.png,grey,candle,candle,1.0,L
GPT-5.5,0196c.png,color,fish,,0.28744736313819885,L
GPT-5.5,0197g.png,grey,vase,vase,1.0000001192092896,L
GPT-5.5,0197c.png,color,iguana,,0.1681782454252243,L
GPT-5.5,0209g.png,grey,twig,,0.25021904706954956,M
GPT-5.5,0209c.png,color,leopard,,0.3159732222557068,M
GPT-5.5,0244g.png,grey,temple,,0.24535995721817017,L
GPT-5.5,0244c.png,color,alpaca,,0.23860764503479004,L
GPT-5.5,0269g.png,grey,onion,,0.23147770762443542,L
GPT-5.5,0269c.png,color,pelican,,0.2708127498626709,L
GPT-5.5,0291g.png,grey,branch,,0.2855691909790039,L
GPT-5.5,0291c.png,color,rabbit,rabbit,1.0000001192092896,L
GPT-5.5,0293g.png,grey,cone,,0.280935674905777,M
GPT-5.5,0293c.png,color,bird,bird,1.0000001192092896,M
GPT-5.5,0333g.png,grey,cloud,,0.2718055248260498,L
GPT-5.5,0339g.png,grey,banana,,0.3152996897697449,M
GPT-5.5,0339c.png,color,frog,gecko,0.43424761295318604,M
GPT-5.5,0347g.png,grey,carrot,,0.3315981924533844,L
GPT-5.5,0347c.png,color,bird,bird,1.0000001192092896,L
GPT-5.5,0379g.png,grey,vase,,0.2327970564365387,H
GPT-5.5,0379c.png,color,monkey,,0.35458678007125854,H
GPT-5.5,0400g.png,grey,tree,,0.2648976445198059,L
GPT-5.5,0400c.png,color,rooster,,0.32912924885749817,L
GPT-5.5,0403g.png,grey,bottle,,0.32884204387664795,H
GPT-5.5,0403c.png,color,bird,,0.2782021164894104,H
GPT-5.5,0465g.png,grey,hut,grasshopper,0.21988406777381897,L
GPT-5.5,0465c.png,color,lobster,lobster,1.0000001192092896,L
GPT-5.5,0524g.png,grey,tree,,0.2648976445198059,M
