pair_number,grey_object,color_object,quality,n_gen_models,grey_avg_sim,color_avg_sim,grey_min_sim,color_min_sim,status
1635,table,switch,M,8,0.243,0.256,0.076,0.168,ALL_BAD
1674,parsnip,jicama,H,8,0.222,0.243,0.069,0.074,ALL_BAD
1975,porpoise,ginger,L,8,0.250,0.286,0.140,0.180,ALL_BAD
2024,faucet,boysenberry,M,8,0.239,0.260,0.121,0.145,ALL_BAD
2,violin,eagle,L,8,0.736,0.407,0.181,0.112,MIXED
3,bottle,bird,M,8,0.608,0.421,0.050,0.143,MIXED
6,castle,crab,M,8,0.417,0.608,0.139,0.069,MIXED
7,bridge,dolphin,M,8,0.609,0.589,0.090,0.118,MIXED
12,feather,tiger,L,8,0.292,0.698,0.131,0.139,MIXED
30,branch,bird,L,8,0.519,0.672,0.128,0.098,MIXED
31,plume,dragonfly,M,8,0.277,0.629,0.152,0.055,MIXED
48,balloon,llama,L,8,0.513,0.363,-0.066,0.110,MIXED
51,mask,peacock,L,8,0.383,0.701,0.117,0.047,MIXED
57,boat,ladybug,M,8,0.772,0.330,-0.025,0.089,MIXED
62,windmill,fish,L,8,0.700,0.531,0.083,0.089,MIXED
64,temple,frog,L,8,0.353,0.662,0.076,0.048,MIXED
70,mountain,kitten,M,8,0.613,0.565,0.082,0.112,MIXED
74,moon,walrus,L,8,0.225,0.541,0.169,0.111,MIXED
78,banana,parrot,M,8,0.791,0.556,0.094,0.099,MIXED
83,bottle,kingfisher,L,8,0.556,0.252,0.006,0.177,MIXED
98,flower,bird,H,8,0.704,0.466,0.256,0.154,MIXED
100,mushroom,manatee,L,8,0.702,0.260,0.096,0.071,MIXED
117,vase,iguana,M,8,0.710,0.240,0.143,0.092,MIXED
118,cup,gecko,L,8,0.645,0.329,0.072,0.070,MIXED
132,drum,jellyfish,M,8,0.276,0.708,0.133,0.091,MIXED
150,mountain,kitten,M,8,0.367,0.563,0.088,0.047,MIXED
159,pear,goldfish,L,8,0.438,0.572,0.015,0.031,MIXED
162,violin,eagle,L,8,0.792,0.283,0.189,0.128,MIXED
175,tulip,moose,L,8,0.331,0.478,0.026,0.056,MIXED
196,candle,fish,L,8,0.774,0.204,0.086,0.074,MIXED
197,vase,iguana,L,8,0.536,0.328,0.139,0.071,MIXED
